interpolatedPhoneTimestamp,respeckTimestamp,sequenceNumber,x,y,z,breathingSignal,breathingRate,activityLevel,activityType
1539683852720,17626164972,0,-0.04272461,-0.33764648,-0.35375977,NaN,NaN,NaN,0
1539683852800,17626164972,1,-0.10546875,-0.37890625,-0.25024414,NaN,NaN,NaN,0
1539683852880,17626164972,2,-0.053222656,-0.6230469,-0.64038086,NaN,NaN,NaN,4
1539683852960,17626164972,3,0.12060547,-0.8679199,-1.2028809,NaN,NaN,NaN,4
1539683853040,17626164972,4,-0.19067383,-1.1481934,-1.0839844,NaN,NaN,NaN,9
1539683853120,17626164972,5,-0.5488281,-0.8466797,-0.5666504,NaN,NaN,NaN,9
1539683853200,17626164972,6,-0.09423828,-0.7922363,-0.46264648,NaN,NaN,NaN,9
1539683853280,17626164972,7,0.0107421875,-0.26513672,-0.1796875,NaN,NaN,NaN,9
1539683853360,17626164972,8,-0.03173828,-0.33422852,-0.37060547,NaN,NaN,NaN,9
1539683853440,17626164972,9,-0.063964844,-0.76464844,-0.9748535,NaN,NaN,NaN,9
1539683853520,17626164972,10,-0.04711914,-0.9157715,-1.3134766,NaN,NaN,NaN,9
1539683853600,17626164972,11,-0.33007812,-1.3911133,-0.53393555,NaN,NaN,NaN,9
1539683853680,17626164972,12,-0.1472168,-0.7011719,-0.7446289,NaN,NaN,NaN,9
1539683853760,17626164972,13,-0.14233398,-0.50219727,-0.55322266,NaN,NaN,NaN,9
1539683853840,17626164972,14,-0.09667969,-0.26611328,-0.21411133,NaN,NaN,NaN,9
1539683853920,17626164972,15,-0.06738281,-0.5366211,-0.54956055,NaN,NaN,NaN,9
1539683854000,17626164972,16,0.107177734,-0.76000977,-1.0913086,NaN,NaN,NaN,9
1539683854080,17626164972,17,-0.068603516,-0.9694824,-1.1730957,NaN,NaN,NaN,9
1539683854160,17626164972,18,-0.43676758,-0.9333496,-0.6765137,NaN,NaN,NaN,9
1539683854240,17626164972,19,-0.15844727,-0.82958984,-0.5734863,NaN,NaN,NaN,9
1539683854320,17626164972,20,0.051757812,-0.35791016,-0.27539062,NaN,NaN,NaN,9
1539683854400,17626164972,21,-0.022705078,-0.30908203,-0.2722168,NaN,NaN,NaN,9
1539683854480,17626164972,22,-0.033203125,-0.73046875,-0.79052734,NaN,NaN,NaN,9
1539683854560,17626164972,23,-0.050048828,-1.0698242,-1.1911621,NaN,NaN,NaN,9
1539683854640,17626164972,24,-0.2980957,-1.4587402,-0.6723633,NaN,NaN,NaN,9
1539683854720,17626164972,25,-0.10229492,-0.82836914,-0.5402832,NaN,NaN,NaN,9
1539683854800,17626164972,26,-0.123046875,-0.55615234,-0.41552734,NaN,NaN,NaN,9
1539683854880,17626164972,27,-0.09033203,-0.26342773,-0.17871094,NaN,NaN,NaN,9
1539683854960,17626164972,28,-0.056884766,-0.6081543,-0.49731445,NaN,NaN,NaN,9
1539683855040,17626164972,29,0.010253906,-0.842041,-0.9958496,NaN,NaN,NaN,9
1539683855120,17626164972,30,-0.01928711,-1.034668,-1.2077637,NaN,NaN,NaN,9
1539683855200,17626164972,31,-0.39624023,-0.90234375,-0.6296387,NaN,NaN,NaN,9
1539683855280,17626167400,0,-0.30615234,-0.892334,-0.64208984,NaN,NaN,1.1931361,9
1539683855360,17626167400,1,0.015380859,-0.40063477,-0.3395996,NaN,NaN,1.1931361,9
1539683855440,17626167400,2,0.031982422,-0.33813477,-0.24414062,NaN,NaN,1.1931361,9
1539683855520,17626167400,3,-0.032714844,-0.43774414,-0.6298828,NaN,NaN,1.1931361,9
1539683855600,17626167400,4,-0.053222656,-0.8803711,-1.1430664,NaN,NaN,1.1931361,9
1539683855680,17626167400,5,-0.06274414,-1.0563965,-1.1020508,NaN,NaN,1.1931361,1
1539683855760,17626167400,6,-0.27783203,-1.130127,-0.72753906,NaN,NaN,1.1931361,1
1539683855840,17626167400,7,-0.1508789,-0.7258301,-0.59155273,NaN,NaN,1.1931361,1
1539683855920,17626167400,8,-0.036376953,-0.28637695,-0.36206055,NaN,NaN,1.1931361,1
1539683856000,17626167400,9,-0.15356445,-0.4272461,-0.40698242,NaN,NaN,1.1931361,1
1539683856080,17626167400,10,0.1940918,-0.57543945,-0.7919922,NaN,NaN,1.1931361,1
1539683856160,17626167400,11,0.0034179688,-0.74072266,-1.1464844,NaN,NaN,1.1931361,1
1539683856240,17626167400,12,-0.34936523,-1.072998,-0.71118164,NaN,NaN,1.1931361,1
