C,epsilon,loss,temp_hum,window_size,mae,mse
2e-07,0.001,epsilon_insensitive,False,0,1.51814946289883,3.9801141193997553
2e-07,0.1,epsilon_insensitive,False,0,1.5203862055153896,4.009239769406573
2e-07,0.5,epsilon_insensitive,False,0,1.6044875987934475,4.1265151053807925
2e-07,1.0,epsilon_insensitive,False,0,1.70894484150475,5.163506839021806
2e-07,2.5,epsilon_insensitive,False,0,2.1497146949538832,7.3995239994535735
2e-07,5.0,epsilon_insensitive,False,0,2.6708629962020876,9.566491094337316
2e-05,0.001,epsilon_insensitive,False,0,0.4138779660397816,0.2889279744227839
2e-05,0.1,epsilon_insensitive,False,0,0.43993326296229296,0.322265528418159
2e-05,0.5,epsilon_insensitive,False,0,0.652356437877224,0.575156989894466
2e-05,1.0,epsilon_insensitive,False,0,0.9706611586617025,1.165378374992817
2e-05,2.5,epsilon_insensitive,False,0,1.5381870577683083,2.9273069659945468
2e-05,5.0,epsilon_insensitive,False,0,2.44551322295873,8.441222554071338
0.0002,0.001,epsilon_insensitive,False,0,0.41387783034525205,0.28892823806034496
0.0002,0.1,epsilon_insensitive,False,0,0.43993090408937924,0.32226633024160484
0.0002,0.5,epsilon_insensitive,False,0,0.6523401080093862,0.5751418619101478
0.0002,1.0,epsilon_insensitive,False,0,0.9706542470961719,1.1653653450429176
0.0002,2.5,epsilon_insensitive,False,0,1.6548539929079233,3.372408457172883
0.0002,5.0,epsilon_insensitive,False,0,1.4936365052287366,2.906463780069641
0.002,0.001,epsilon_insensitive,False,0,0.4138770953153361,0.2889296707906348
0.002,0.1,epsilon_insensitive,False,0,0.4399181693529045,0.3222706803372551
0.002,0.5,epsilon_insensitive,False,0,0.6522525761569947,0.575060915477382
0.002,1.0,epsilon_insensitive,False,0,0.9706178626296507,1.165297179376327
0.002,2.5,epsilon_insensitive,False,0,1.6537695086349908,3.3669844328444047
0.002,5.0,epsilon_insensitive,False,0,3.567164742991052,15.287047715456538
0.02,0.001,epsilon_insensitive,False,0,0.413872252306987,0.288936789877
0.02,0.1,epsilon_insensitive,False,0,0.43987130893910376,0.3222918493699363
0.02,0.5,epsilon_insensitive,False,0,0.6518290084871227,0.5746725084578804
0.02,1.0,epsilon_insensitive,False,0,0.9704505056287561,1.1649928972537604
0.02,2.5,epsilon_insensitive,False,0,1.6496544978906993,3.346602012524114
0.02,5.0,epsilon_insensitive,False,0,3.5671609360926784,15.287026544013143
0.2,0.001,epsilon_insensitive,False,0,0.4138511788589797,0.28897026652483043
0.2,0.1,epsilon_insensitive,False,0,0.43971811898586993,0.32239809296168886
0.2,0.5,epsilon_insensitive,False,0,0.6497730180903222,0.5727277810297601
0.2,1.0,epsilon_insensitive,False,0,0.9698256276771263,1.1639911860857288
0.2,2.5,epsilon_insensitive,False,0,1.63459943492759,3.2747119034771237
0.2,5.0,epsilon_insensitive,False,0,3.5671609360926784,15.287026544013143
2.0,0.001,epsilon_insensitive,False,0,0.4137555737863557,0.28905629181830944
2.0,0.1,epsilon_insensitive,False,0,0.43934764454244635,0.322626083066818
2.0,0.5,epsilon_insensitive,False,0,0.6433793889451536,0.5672193113349837
2.0,1.0,epsilon_insensitive,False,0,0.9651731850858272,1.1557751052913952
2.0,2.5,epsilon_insensitive,False,0,1.5880101531989765,3.0657124007566368
2.0,5.0,epsilon_insensitive,False,0,3.5671609360926784,15.287026544013143
