interpolatedPhoneTimestamp,respeckTimestamp,sequenceNumber,x,y,z,breathingSignal,breathingRate,activityLevel,activityType
1539435889112,17378299539,0,-0.20654297,-0.96655273,-0.056152344,NaN,NaN,NaN,0
1539435889192,17378299539,1,-0.20532227,-0.9736328,-0.0053710938,NaN,NaN,NaN,0
1539435889272,17378299539,2,-0.22192383,-0.96240234,-0.056152344,NaN,NaN,NaN,0
1539435889352,17378299539,3,-0.23242188,-0.9562988,-0.052001953,NaN,NaN,NaN,0
1539435889432,17378299539,4,-0.24194336,-0.95751953,-0.07128906,NaN,NaN,NaN,0
1539435889512,17378299539,5,-0.21606445,-0.954834,-0.049316406,NaN,NaN,NaN,0
1539435889592,17378299539,6,-0.21289062,-0.9567871,-0.06689453,NaN,NaN,NaN,0
1539435889672,17378299539,7,-0.22387695,-0.95947266,-0.057861328,NaN,NaN,NaN,0
1539435889752,17378299539,8,-0.23291016,-0.9604492,-0.068847656,NaN,NaN,NaN,0
1539435889832,17378299539,9,-0.23168945,-0.94799805,-0.07397461,NaN,NaN,NaN,0
1539435889912,17378299539,10,-0.23632812,-0.9555664,-0.064697266,NaN,NaN,NaN,0
1539435889992,17378299539,11,-0.23730469,-0.9543457,-0.079589844,NaN,NaN,NaN,0
1539435890072,17378299539,12,-0.24682617,-0.9567871,-0.07421875,NaN,NaN,NaN,0
1539435890152,17378299539,13,-0.23999023,-0.9584961,-0.07324219,NaN,NaN,NaN,0
1539435890232,17378299539,14,-0.24267578,-0.953125,-0.076660156,NaN,NaN,NaN,0
1539435890312,17378299539,15,-0.24926758,-0.95703125,-0.076171875,NaN,NaN,NaN,0
1539435890392,17378299539,16,-0.2319336,-0.94799805,-0.07910156,NaN,NaN,NaN,0
1539435890472,17378299539,17,-0.24047852,-0.95825195,-0.08081055,NaN,NaN,NaN,0
1539435890552,17378299539,18,-0.23168945,-0.9523926,-0.083496094,NaN,NaN,NaN,0
1539435890632,17378299539,19,-0.2397461,-0.96313477,-0.07373047,NaN,NaN,NaN,0
