interpolatedPhoneTimestamp,respeckTimestamp,sequenceNumber,x,y,z,breathingSignal,breathingRate,activityLevel,activityType
1542548602139,20490702605,0,0.16235352,0.98583984,-0.021972656,NaN,NaN,NaN,3
1542548602219,20490702605,1,0.16430664,0.9851074,-0.022705078,NaN,NaN,NaN,3
1542548602299,20490702605,2,0.1616211,0.98413086,-0.025634766,NaN,NaN,NaN,3
1542548602379,20490702605,3,0.16552734,0.9892578,-0.022460938,NaN,NaN,NaN,3
1542548602459,20490702605,4,0.16455078,0.98706055,-0.02368164,NaN,NaN,NaN,3
1542548602539,20490702605,5,0.16479492,0.9831543,-0.0107421875,NaN,NaN,NaN,3
1542548602619,20490702605,6,0.16967773,0.9873047,-0.013427734,NaN,NaN,NaN,3
1542548602699,20490702605,7,0.16503906,0.9836426,-0.008544922,NaN,NaN,NaN,3
1542548602779,20490702605,8,0.16967773,0.9875488,-0.0061035156,NaN,NaN,NaN,3
1542548602859,20490702605,9,0.16699219,0.98339844,7.324219E-4,NaN,NaN,NaN,3
1542548602939,20490702605,10,0.16333008,0.9873047,9.765625E-4,NaN,NaN,NaN,3
1542548603019,20490702605,11,0.1652832,0.984375,0.0043945312,NaN,NaN,NaN,3
1542548603099,20490702605,12,0.16333008,0.98413086,0.0053710938,NaN,NaN,NaN,3
1542548603179,20490702605,13,0.16357422,0.9851074,0.012207031,NaN,NaN,NaN,3
1542548603259,20490702605,14,0.16357422,0.98706055,0.015136719,NaN,NaN,NaN,3
1542548603339,20490702605,15,0.16210938,0.9824219,0.021728516,NaN,NaN,NaN,3
1542548603419,20490702605,16,0.16064453,0.984375,0.013916016,NaN,NaN,NaN,3
1542548603499,20490702605,17,0.16015625,0.9873047,0.018798828,NaN,NaN,NaN,3
1542548603579,20490702605,18,0.16015625,0.9868164,0.021240234,NaN,NaN,NaN,3
1542548603659,20490702605,19,0.15820312,0.9836426,0.02319336,NaN,NaN,NaN,3
1542548603739,20490702605,20,0.15893555,0.98583984,0.02319336,NaN,NaN,NaN,3
1542548603819,20490702605,21,0.16040039,0.98413086,0.020996094,NaN,NaN,NaN,3
1542548603899,20490702605,22,0.16088867,0.98876953,0.022705078,NaN,NaN,NaN,3
1542548603979,20490702605,23,0.1586914,0.986084,0.018554688,NaN,NaN,NaN,3
1542548604059,20490702605,24,0.16064453,0.98583984,0.018310547,NaN,NaN,NaN,3
1542548604139,20490702605,25,0.15820312,0.98461914,0.014892578,NaN,NaN,NaN,3
1542548604219,20490702605,26,0.15991211,0.98876953,0.0087890625,NaN,NaN,NaN,3
1542548604299,20490702605,27,0.16088867,0.9863281,0.009765625,NaN,NaN,NaN,3
1542548604379,20490702605,28,0.15625,0.98657227,0.0048828125,NaN,NaN,NaN,3
1542548604459,20490702605,29,0.16015625,0.9838867,4.8828125E-4,NaN,NaN,NaN,3
1542548604539,20490702605,30,0.15991211,0.98706055,0.0017089844,NaN,NaN,NaN,3
1542548604619,20490702605,31,0.16015625,0.9848633,-0.0017089844,NaN,NaN,NaN,3
1542548604699,20490705034,0,0.16015625,0.9885254,-0.00390625,NaN,NaN,0.0454095,3
1542548604779,20490705034,1,0.16210938,0.9897461,-0.0068359375,NaN,NaN,0.0454095,3
1542548604859,20490705034,2,0.16479492,0.9855957,-0.0073242188,NaN,NaN,0.0454095,3
1542548604939,20490705034,3,0.1628418,0.986084,-0.020507812,NaN,NaN,0.0454095,3
1542548605019,20490705034,4,0.16015625,0.9848633,-0.01977539,NaN,NaN,0.0454095,3
1542548605099,20490705034,5,0.1616211,0.98413086,-0.02734375,NaN,NaN,0.0454095,3
1542548605179,20490705034,6,0.16088867,0.9848633,-0.042236328,NaN,NaN,0.0454095,3
1542548605259,20490705034,7,0.15893555,0.9855957,-0.045654297,NaN,NaN,0.0454095,3
1542548605339,20490705034,8,0.15478516,0.9875488,-0.05053711,NaN,NaN,0.0454095,3
1542548605419,20490705034,9,0.15771484,0.9831543,-0.05053711,NaN,NaN,0.0454095,3
1542548605499,20490705034,10,0.15625,0.9875488,-0.050048828,NaN,NaN,0.0454095,3
1542548605579,20490705034,11,0.15332031,0.9855957,-0.043701172,NaN,NaN,0.0454095,3
1542548605659,20490705034,12,0.1574707,0.986084,-0.029785156,NaN,NaN,0.0454095,3
1542548605739,20490705034,13,0.16015625,0.9880371,-0.029541016,NaN,NaN,0.0454095,3
1542548605819,20490705034,14,0.15771484,0.9880371,-0.022705078,NaN,NaN,0.0454095,3
1542548605899,20490705034,15,0.15527344,0.9902344,-0.017578125,NaN,NaN,0.0454095,3
1542548605979,20490705034,16,0.15844727,0.9851074,-0.013916016,NaN,NaN,0.0454095,3
1542548606059,20490705034,17,0.15771484,0.98706055,-0.0061035156,NaN,NaN,0.0454095,3
1542548606139,20490705034,18,0.15844727,0.9868164,-0.0056152344,NaN,NaN,0.0454095,3
1542548606219,20490705034,19,0.15551758,0.98706055,-4.8828125E-4,NaN,NaN,0.04529516,3
1542548606299,20490705034,20,0.15673828,0.9875488,9.765625E-4,NaN,NaN,0.044797644,3
1542548606379,20490705034,21,0.15820312,0.98535156,0.007080078,NaN,NaN,0.044797644,3
1542548606459,20490705034,22,0.15673828,0.9863281,0.005126953,NaN,NaN,0.040693197,3
1542548606539,20490705034,23,0.15795898,0.98461914,0.006591797,NaN,NaN,0.04031944,3
1542548606619,20490705034,24,0.15673828,0.9868164,0.010009766,NaN,NaN,0.037118208,3
1542548606699,20490705034,25,0.14819336,0.9855957,0.006591797,NaN,NaN,0.03177582,3
1542548606779,20490705034,26,0.15185547,0.98876953,0.00390625,NaN,NaN,0.03177582,3
1542548606859,20490705034,27,0.15991211,0.98535156,0.0075683594,NaN,NaN,0.027550055,3
1542548606939,20490705034,28,0.15185547,0.9880371,0.001953125,NaN,NaN,0.023838429,3
1542548607019,20490705034,29,0.1496582,0.98779297,0.0021972656,NaN,NaN,0.023838429,3
1542548607099,20490705034,30,0.1550293,0.9851074,-7.324219E-4,NaN,NaN,0.020405835,3
1542548607179,20490705034,31,0.15820312,0.9875488,-0.0068359375,NaN,NaN,0.018396609,3
1542548607259,20490707463,0,0.15356445,0.9885254,-0.012451172,NaN,NaN,0.014928555,3
1542548607339,20490707463,1,0.15722656,0.98779297,-0.013427734,NaN,NaN,0.014928555,3
1542548607419,20490707463,2,0.1538086,0.9892578,-0.014404297,NaN,NaN,0.014928555,3
1542548607499,20490707463,3,0.15429688,0.98657227,-0.020507812,NaN,NaN,0.014928555,3
1542548607579,20490707463,4,0.15527344,0.9873047,-0.02319336,NaN,NaN,0.014928555,3
1542548607659,20490707463,5,0.15527344,0.9875488,-0.025146484,NaN,NaN,0.014928555,3
1542548607739,20490707463,6,0.15429688,0.98706055,-0.033203125,NaN,NaN,0.014529957,3
1542548607819,20490707463,7,0.15478516,0.9838867,-0.037597656,NaN,NaN,0.014529957,3
1542548607899,20490707463,8,0.15356445,0.98657227,-0.038330078,NaN,NaN,0.014529957,3
1542548607979,20490707463,9,0.14331055,0.984375,-0.05883789,NaN,NaN,0.023033474,3
1542548608059,20490707463,10,0.14648438,0.9880371,-0.064941406,NaN,NaN,0.023033474,3
1542548608139,20490707463,11,0.1586914,0.9848633,-0.08276367,NaN,NaN,0.023033474,3
1542548608219,20490707463,12,0.1574707,0.9797363,-0.09814453,NaN,NaN,0.023033474,3
1542548608299,20490707463,13,0.1652832,0.9758301,-0.10473633,NaN,NaN,0.023033474,3
1542548608379,20490707463,14,0.17773438,0.98168945,-0.099121094,NaN,NaN,0.023033474,3
1542548608459,20490707463,15,0.17089844,0.9836426,-0.11206055,NaN,NaN,0.023033474,3
1542548608539,20490707463,16,0.15576172,0.97094727,-0.13427734,NaN,NaN,0.029730074,3
1542548608619,20490707463,17,0.15356445,0.99121094,-0.104003906,NaN,NaN,0.03649555,3
