Sensor,mae, mse
Lauriston,0.1250533758363013,0.03129801532489498
Melville,0.41486260006820674,0.32636075340771803
Library,0.12215883801504161,0.034480335350585804
Tennis,0.07574605866832645,0.013364994913237347
Bristo,0.11357214080862954,0.0357371244340244
Buccleuch,0.10757511404412945,0.02061116453259654
