phoneTimestamp,pm1,pm2_5,pm10,temperature,humidity,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,total,gpsLongitude,gpsLatitude,gpsAltitude,gpsAccuracy,luxLevel,motion,battery
1539172427974,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.2005562,55.9454923,142.3000030517578,12.434,0,453,0
1539172456512,1.0252455,1.9385731,32.658333,24.800001,55.4,171,60,26,25,10,15,17,12,2,4,7,6,2,0,0,2,359,-3.2003612,55.945552,143.60000610351562,12.715,0,9155,379
1539172493493,0.9843251,1.5615398,10.593493,24.9,52.2,204,82,48,21,10,10,13,5,5,0,1,0,2,0,0,2,403,-3.2003693,55.9455852,143.8000030517578,12.489,0,9001,379
1539172530476,0.9155311,1.3843915,13.466739,24.800001,51.0,214,79,31,31,12,11,9,3,2,0,0,4,1,2,0,0,399,-3.2002573,55.9455115,143.8000030517578,14.338,0,3923,378
1539172566799,0.97904325,1.3416532,4.322676,24.800001,49.7,219,99,34,19,7,4,4,2,2,2,1,1,0,0,0,0,394,-3.2002347,55.9454877,143.3000030517578,12.881,0,3976,378
1539172604421,0.9648277,1.4694688,12.129581,24.7,48.3,209,88,43,20,13,9,10,4,1,3,2,3,1,1,0,0,407,-3.2001893,55.9454166,143.8000030517578,13.728,0,4076,378
1539172638817,1.0965776,1.6072023,17.119423,24.6,47.5,259,93,36,24,11,16,9,0,2,1,7,3,1,2,0,0,464,-3.1997925,55.9452697,141.89999389648438,8.305,0,14698,378
1539172675794,1.076298,1.7116373,9.188966,24.4,46.9,227,102,47,40,22,13,9,9,1,1,3,1,1,0,0,1,477,-3.1989797,55.9449915,136.31787109375,4.284,2,16367,378
1539172711470,1.1540068,1.7398266,8.262037,24.300001,45.4,273,108,43,30,16,10,10,5,5,3,0,1,0,0,1,1,506,-3.1981867,55.9449808,139.712890625,5.589,14,16348,378
1539172747798,1.494183,2.1765225,8.752769,24.1,45.100002,395,112,54,39,17,11,14,6,1,3,3,1,1,0,0,0,657,-3.1973656,55.9449767,135.66015625,4.551,15,15529,378
1539172784772,1.6231837,2.3630853,19.066618,24.0,44.7,375,164,53,39,18,12,11,7,5,3,2,3,1,3,0,1,697,-3.1965232,55.9448891,141.55670166015625,5.867,0,16777,378
1539172820459,1.7638818,2.612952,8.734988,23.7,44.5,409,159,74,47,20,14,17,9,2,1,1,1,0,0,0,2,756,-3.1956883,55.9449542,142.880615234375,5.114,21,15914,377
1539172856789,1.5162076,2.3606696,5.2049613,23.5,44.4,333,134,72,41,21,21,15,9,3,2,0,1,0,0,0,0,652,-3.1948547,55.9449814,132.26116943359375,3.0,24,14948,377
1539172894417,1.227108,1.9197711,11.060038,23.4,44.9,288,123,47,25,19,16,16,7,5,2,3,0,2,1,0,0,554,-3.1941186,55.9450853,136.2569580078125,3.736,41,14945,377
1539172931398,1.0912826,1.6486077,3.4264205,23.300001,44.9,253,95,47,40,14,11,10,6,1,0,0,1,0,0,0,0,478,-3.193213,55.9451641,138.53692626953125,5.016,65,17707,377
1539172969032,1.8693184,2.7701685,4.650564,23.300001,45.3,467,180,59,40,16,24,21,8,6,2,0,0,0,0,0,0,823,-3.1922284,55.945219,133.04388427734375,4.611,97,17307,377
1539173005351,1.7079401,2.4907496,8.972519,23.2,45.5,388,140,72,37,16,21,17,3,1,0,0,0,0,2,1,0,698,-3.1914723,55.9453233,139.8194580078125,4.853,77,16334,377
1539173041034,1.17062,1.7882397,5.513286,23.1,45.5,247,92,59,45,11,14,11,2,2,0,2,0,0,1,0,0,486,-3.1907676,55.9453278,135.817626953125,5.252,10,17029,377
1539173078047,1.1247646,1.7594565,6.4915056,22.9,45.0,251,106,46,36,11,16,19,4,1,1,0,0,1,1,0,0,493,-3.1900001,55.9455787,134.76092529296875,5.211,0,16519,377
1539173114994,0.934188,1.4403616,3.687849,22.7,45.100002,207,90,36,29,17,16,11,1,1,2,0,1,0,0,0,0,411,-3.1891844,55.9454903,137.13623046875,3.887,0,15503,377
1539173151326,1.211586,1.8401452,4.4623013,22.300001,45.8,258,112,57,36,20,11,12,4,3,0,0,0,1,0,0,0,514,-3.1883498,55.9452972,137.05615234375,3.822,3,16252,377
1539173187658,1.6257262,2.3545191,6.3973575,22.300001,45.5,445,122,55,33,15,11,20,6,3,2,1,0,0,1,0,0,714,-3.1880068,55.9450333,138.9010009765625,5.785,0,15196,377
1539173223985,1.60215,2.4386976,6.012447,22.1,45.9,393,136,63,45,23,15,16,10,4,2,1,1,0,0,0,0,709,-3.1879068,55.9446366,136.46380615234375,5.926,0,12436,377
1539173261611,1.4859952,2.3410697,10.776849,22.1,46.2,334,148,57,42,19,22,22,5,3,6,1,1,2,0,0,0,662,-3.1873401,55.9444334,136.8551025390625,6.759,8,12378,377
1539173297328,1.2453558,2.1988194,7.178631,22.1,46.7,257,107,65,34,27,18,23,17,5,1,0,1,0,0,1,0,556,-3.1872308,55.9444632,153.6982421875,11.488,0,13997,377
1539187015827,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1860861,55.9434934,130.9996337890625,87.968,0,386,0
1539187044315,0.1294277,0.2285317,2.2258391,22.0,51.0,37,4,3,0,1,1,2,3,1,0,0,1,0,0,0,0,53,-3.1927317,55.9403529,0.0,1000.0,0,640,378
1539187080644,0.30106914,0.8175988,19.603294,22.0,51.4,81,19,10,8,4,22,12,14,4,4,3,5,2,1,1,0,190,-3.1927317,55.9403529,0.0,1000.0,0,10892,377
1539187116975,1.3078591,2.1108851,9.165262,22.1,51.7,342,80,47,41,15,15,22,7,6,1,2,0,1,1,0,0,580,-3.1874698,55.944034,137.6998291015625,3.458,0,12606,377
1539187152654,1.450438,2.3046682,9.106499,22.1,51.5,374,101,50,39,26,20,21,6,5,3,1,0,2,0,0,0,648,-3.1876109,55.9443645,138.7012939453125,3.397,0,12537,377
1539187190281,1.8907754,3.3046727,7.933796,22.1,51.5,470,149,64,57,35,35,33,22,12,6,0,0,0,0,0,0,883,-3.1877812,55.9446689,141.97076416015625,3.654,0,11926,377
1539187225357,1.5776969,2.643578,7.5500016,22.0,51.2,377,118,69,46,15,28,29,9,8,4,1,1,0,0,0,0,705,-3.1879472,55.9450582,135.1846923828125,3.422,0,12063,377
1539187260994,1.7873398,2.767098,8.240661,22.0,51.2,452,134,67,39,31,20,21,14,3,1,1,1,1,0,0,0,785,-3.18837,55.9454347,140.818115234375,3.678,0,12455,377
1539187296721,1.4713708,2.1631043,9.0150795,21.9,51.5,386,118,47,37,16,13,17,6,2,2,1,1,0,1,0,1,648,-3.188908,55.9456165,142.977783203125,6.666,0,12133,377
1539187333011,1.6035578,2.2662485,5.4704595,21.9,51.5,416,127,50,53,24,9,13,3,0,1,1,0,0,1,0,0,698,-3.1896137,55.9455716,138.17608642578125,8.734,0,12207,376
1539187369997,1.7822769,2.5360782,4.8433576,21.800001,51.2,462,145,52,52,25,19,12,6,0,1,0,0,0,0,0,1,775,-3.1904404,55.9455076,139.85906982421875,6.243,0,12302,376
1539187405669,1.6956106,2.5212274,5.826388,21.800001,51.3,441,124,64,48,20,12,21,4,4,2,3,0,0,0,0,0,743,-3.1911532,55.9453199,143.426025390625,6.571,0,13300,376
1539187440055,2.2560267,3.2425609,5.26997,21.7,51.4,545,187,79,67,22,15,18,8,2,2,1,0,0,0,0,0,946,-3.1917403,55.9452358,141.7672119140625,7.655,0,12851,376
1539187475734,3.4468205,4.494456,7.462831,21.7,51.600002,957,286,88,40,22,23,15,7,4,2,0,1,0,0,0,0,1445,-3.1925386,55.9451659,142.368896484375,7.837,0,12221,376
1539187512065,3.2184803,4.326564,5.869993,21.6,52.0,884,261,99,54,26,24,19,5,4,2,0,0,0,0,0,0,1378,-3.1932165,55.9450679,140.39056396484375,7.61,0,14303,376
